,CROP,LATITUDE,LONGITUDE,YEAR,YIELD,GSL,CWD_fall,CWD_spring,CWD_summer,WW_fall,WW_spring,WW_summer,CDD_fall,CDD_spring,CDD_summer,CSDI_fall,CSDI_spring,CSDI_summer,WSDI_fall,WSDI_spring,WSDI_summer,CFD_fall,CFD_spring,CFD_summer,CSU_fall,CSU_spring,CSU_summer
56,winter_wheat,48.25,-66.75,1987,47.9,150.0,7.0,9.0,4.0,7.0,3.0,2.0,9.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,23.0,0.0,0.0,0.0,6.0
57,spring_wheat,51.25,-67.25,1987,40.9,103.0,7.0,8.0,12.0,5.0,7.0,3.0,7.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,25.0,2.0,0.0,0.0,3.0
58,winter_wheat,51.25,-67.25,1987,47.9,103.0,7.0,8.0,12.0,5.0,7.0,3.0,7.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,25.0,2.0,0.0,0.0,3.0
59,spring_wheat,47.75,-72.75,1987,40.9,195.0,9.0,6.0,13.0,2.0,4.0,3.0,7.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,6.0,15.0,23.0,1.0,0.0,0.0,8.0
60,winter_wheat,47.75,-72.75,1987,47.9,195.0,9.0,6.0,13.0,2.0,4.0,3.0,7.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,6.0,15.0,23.0,1.0,0.0,0.0,8.0
61,spring_wheat,45.25,-71.75,1987,40.9,219.0,4.0,13.0,9.0,5.0,5.0,6.0,8.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,12.0,0.0,1.0,2.0,6.0
62,winter_wheat,45.25,-71.75,1987,47.9,219.0,4.0,13.0,9.0,5.0,5.0,6.0,8.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,12.0,0.0,1.0,2.0,6.0
63,spring_wheat,46.75,-73.75,1987,40.9,195.0,8.0,6.0,6.0,2.0,3.0,3.0,7.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,23.0,1.0,1.0,2.0,8.0
64,winter_wheat,46.75,-73.75,1987,47.9,195.0,8.0,6.0,6.0,2.0,3.0,3.0,7.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,23.0,1.0,1.0,2.0,8.0
65,spring_wheat,46.75,-75.75,1987,40.9,198.0,8.0,9.0,6.0,4.0,5.0,4.0,7.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,23.0,0.0,1.0,3.0,13.0
66,winter_wheat,46.75,-75.75,1987,47.9,198.0,8.0,9.0,6.0,4.0,5.0,4.0,7.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,23.0,0.0,1.0,3.0,13.0
67,corn,55.25,-73.25,1987,98.8,117.0,17.0,11.0,12.0,8.0,0.0,4.0,4.0,14.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,77.0,6.0,0.0,0.0,2.0
68,soybeans,55.25,-73.25,1987,33.0,117.0,17.0,11.0,12.0,8.0,0.0,4.0,4.0,14.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,77.0,6.0,0.0,0.0,2.0
69,spring_wheat,55.25,-73.25,1987,40.9,117.0,17.0,11.0,12.0,8.0,0.0,4.0,4.0,14.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,77.0,6.0,0.0,0.0,2.0
70,winter_wheat,55.25,-73.25,1987,47.9,117.0,17.0,11.0,12.0,8.0,0.0,4.0,4.0,14.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,77.0,6.0,0.0,0.0,2.0
71,spring_wheat,46.25,-70.75,1987,40.9,201.0,6.0,7.0,11.0,5.0,4.0,5.0,9.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,17.0,0.0,1.0,1.0,6.0
72,winter_wheat,46.25,-70.75,1987,47.9,201.0,6.0,7.0,11.0,5.0,4.0,5.0,9.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,17.0,0.0,1.0,1.0,6.0
73,spring_wheat,45.75,-72.75,1987,40.9,220.0,4.0,10.0,6.0,5.0,5.0,6.0,8.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,12.0,0.0,1.0,2.0,12.0
74,winter_wheat,45.75,-72.75,1987,47.9,220.0,4.0,10.0,6.0,5.0,5.0,6.0,8.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,12.0,0.0,1.0,2.0,12.0
75,oats,45.25,-73.75,1987,59.0,220.0,4.0,9.0,4.0,5.0,5.0,6.0,8.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,11.0,0.0,1.0,3.0,12.0
76,spring_wheat,45.25,-73.75,1987,40.9,220.0,4.0,9.0,4.0,5.0,5.0,6.0,8.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,11.0,0.0,1.0,3.0,12.0
77,winter_wheat,45.25,-73.75,1987,47.9,220.0,4.0,9.0,4.0,5.0,5.0,6.0,8.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,11.0,0.0,1.0,3.0,12.0
78,spring_wheat,46.25,-72.25,1987,40.9,210.0,4.0,6.0,6.0,5.0,5.0,4.0,6.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,16.0,0.0,1.0,2.0,7.0
79,winter_wheat,46.25,-72.25,1987,47.9,210.0,4.0,6.0,6.0,5.0,5.0,4.0,6.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,16.0,0.0,1.0,2.0,7.0
80,barley,46.75,-70.75,1987,48.8,192.0,6.0,6.0,13.0,6.0,4.0,4.0,9.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,12.0,0.0,1.0,0.0,7.0
81,corn,46.75,-70.75,1987,98.8,192.0,6.0,6.0,13.0,6.0,4.0,4.0,9.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,12.0,0.0,1.0,0.0,7.0
82,oats,46.75,-70.75,1987,59.0,192.0,6.0,6.0,13.0,6.0,4.0,4.0,9.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,12.0,0.0,1.0,0.0,7.0
83,soybeans,46.75,-70.75,1987,33.0,192.0,6.0,6.0,13.0,6.0,4.0,4.0,9.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,12.0,0.0,1.0,0.0,7.0
84,spring_wheat,46.75,-70.75,1987,40.9,192.0,6.0,6.0,13.0,6.0,4.0,4.0,9.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,12.0,0.0,1.0,0.0,7.0
85,winter_wheat,46.75,-70.75,1987,47.9,192.0,6.0,6.0,13.0,6.0,4.0,4.0,9.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,12.0,0.0,1.0,0.0,7.0
86,barley,45.25,-73.25,1987,48.8,220.0,4.0,9.0,5.0,5.0,6.0,6.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,0.0,1.0,2.0,12.0
87,corn,45.25,-73.25,1987,98.8,220.0,4.0,9.0,5.0,5.0,6.0,6.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,0.0,1.0,2.0,12.0
88,oats,45.25,-73.25,1987,59.0,220.0,4.0,9.0,5.0,5.0,6.0,6.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,0.0,1.0,2.0,12.0
89,soybeans,45.25,-73.25,1987,33.0,220.0,4.0,9.0,5.0,5.0,6.0,6.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,0.0,1.0,2.0,12.0
90,spring_wheat,45.25,-73.25,1987,40.9,220.0,4.0,9.0,5.0,5.0,6.0,6.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,0.0,1.0,2.0,12.0
91,winter_wheat,45.25,-73.25,1987,47.9,220.0,4.0,9.0,5.0,5.0,6.0,6.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,0.0,1.0,2.0,12.0
92,barley,46.25,-72.25,1987,48.8,210.0,4.0,6.0,6.0,5.0,5.0,4.0,6.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,16.0,0.0,1.0,2.0,7.0
93,corn,46.25,-72.25,1987,98.8,210.0,4.0,6.0,6.0,5.0,5.0,4.0,6.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,16.0,0.0,1.0,2.0,7.0
94,oats,46.25,-72.25,1987,59.0,210.0,4.0,6.0,6.0,5.0,5.0,4.0,6.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,16.0,0.0,1.0,2.0,7.0
95,soybeans,46.25,-72.25,1987,33.0,210.0,4.0,6.0,6.0,5.0,5.0,4.0,6.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,16.0,0.0,1.0,2.0,7.0
96,spring_wheat,46.25,-72.25,1987,40.9,210.0,4.0,6.0,6.0,5.0,5.0,4.0,6.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,16.0,0.0,1.0,2.0,7.0
97,winter_wheat,46.25,-72.25,1987,47.9,210.0,4.0,6.0,6.0,5.0,5.0,4.0,6.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,16.0,0.0,1.0,2.0,7.0
98,barley,42.75,-81.25,1987,52.6,204.0,8.0,8.0,8.0,6.0,6.0,5.0,14.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,1.0,5.0,7.0
99,canola,42.75,-81.25,1987,32.5,204.0,8.0,8.0,8.0,6.0,6.0,5.0,14.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,1.0,5.0,7.0
100,corn,42.75,-81.25,1987,117.9,204.0,8.0,8.0,8.0,6.0,6.0,5.0,14.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,1.0,5.0,7.0
101,fall_rye,42.75,-81.25,1987,31.1,204.0,8.0,8.0,8.0,6.0,6.0,5.0,14.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,1.0,5.0,7.0
102,oats,42.75,-81.25,1987,56.2,204.0,8.0,8.0,8.0,6.0,6.0,5.0,14.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,1.0,5.0,7.0
103,spring_wheat,42.75,-81.25,1987,42.7,204.0,8.0,8.0,8.0,6.0,6.0,5.0,14.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,1.0,5.0,7.0
104,winter_wheat,42.75,-81.25,1987,51.9,204.0,8.0,8.0,8.0,6.0,6.0,5.0,14.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,1.0,5.0,7.0
105,barley,44.25,-80.75,1987,64.1,203.0,14.0,9.0,6.0,7.0,5.0,3.0,14.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,22.0,0.0,1.0,5.0,7.0
106,canola,44.25,-80.75,1987,32.5,203.0,14.0,9.0,6.0,7.0,5.0,3.0,14.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,22.0,0.0,1.0,5.0,7.0
107,corn,44.25,-80.75,1987,122.3,203.0,14.0,9.0,6.0,7.0,5.0,3.0,14.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,22.0,0.0,1.0,5.0,7.0
108,fall_rye,44.25,-80.75,1987,31.1,203.0,14.0,9.0,6.0,7.0,5.0,3.0,14.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,22.0,0.0,1.0,5.0,7.0
109,oats,44.25,-80.75,1987,67.2,203.0,14.0,9.0,6.0,7.0,5.0,3.0,14.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,22.0,0.0,1.0,5.0,7.0
110,spring_wheat,44.25,-80.75,1987,42.7,203.0,14.0,9.0,6.0,7.0,5.0,3.0,14.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,22.0,0.0,1.0,5.0,7.0
111,winter_wheat,44.25,-80.75,1987,51.9,203.0,14.0,9.0,6.0,7.0,5.0,3.0,14.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,22.0,0.0,1.0,5.0,7.0
112,barley,44.75,-78.75,1987,60.9,195.0,14.0,8.0,5.0,6.0,4.0,2.0,14.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,17.0,0.0,1.0,4.0,6.0
113,canola,44.75,-78.75,1987,32.5,195.0,14.0,8.0,5.0,6.0,4.0,2.0,14.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,17.0,0.0,1.0,4.0,6.0
114,corn,44.75,-78.75,1987,103.5,195.0,14.0,8.0,5.0,6.0,4.0,2.0,14.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,17.0,0.0,1.0,4.0,6.0
115,fall_rye,44.75,-78.75,1987,31.1,195.0,14.0,8.0,5.0,6.0,4.0,2.0,14.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,17.0,0.0,1.0,4.0,6.0
116,oats,44.75,-78.75,1987,63.0,195.0,14.0,8.0,5.0,6.0,4.0,2.0,14.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,17.0,0.0,1.0,4.0,6.0
117,spring_wheat,44.75,-78.75,1987,42.7,195.0,14.0,8.0,5.0,6.0,4.0,2.0,14.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,17.0,0.0,1.0,4.0,6.0
118,winter_wheat,44.75,-78.75,1987,51.9,195.0,14.0,8.0,5.0,6.0,4.0,2.0,14.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,17.0,0.0,1.0,4.0,6.0
119,barley,45.25,-76.25,1987,56.7,210.0,6.0,9.0,5.0,5.0,2.0,1.0,8.0,10.0,9.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,17.0,0.0,4.0,3.0,12.0
120,canola,45.25,-76.25,1987,32.5,210.0,6.0,9.0,5.0,5.0,2.0,1.0,8.0,10.0,9.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,17.0,0.0,4.0,3.0,12.0
